id;name;jhi_desc;image;image_content_type
1;User-centric Gloves;Mauritania;4275636b696e6768616d7368697265206361706162696c697479207a65726f20746f6c6572616e6365;image/png
2;mission-critical;Berkshire Small Plastic Pants Investor;4265726b73686972652044657369676e6572;image/png
3;Credit Card Account;navigate;7765622d656e61626c656420696e766f696365207769746864726177616c;image/png
4;bypassing optical;installation;4b656e7475636b7920416c67657269616e2044696e617220436c6f7468696e67;image/png
5;open-source turn-key;Sausages;627269636b732d616e642d636c69636b7320436f6e637265746520476c6f62616c;image/png
6;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;48756d616e206465706f736974;image/png
7;even-keeled Saint Helena Pound;Internal AI optical;44796e616d696320486f6d65204c6f616e204163636f756e7420546f6f6c73;image/png
8;Branding;Home Gloves Latvia;4e6574776f726b6564;image/png
9;Fish;payment calculating;7475726e2d6b657920646564696361746564;image/png
10;Wisconsin;target Human withdrawal;77686974652073656e736f72206c6f63616c;image/png
